"ID.EVENTO","TITULO","PRECIO","GRATUITO","LARGA.DURACION","DIAS.SEMANA","DIAS.EXCLUIDOS","FECHA","FECHA.FIN","HORA","DESCRIPCION","CONTENT.URL","TITULO.ACTIVIDAD","URL.ACTIVIDAD","URL.INSTALACION","NOMBRE.INSTALACION","ACCESIBILIDAD.INSTALACION","CLASE.VIAL.INSTALACION","NOMBRE.VIA.INSTALACION","NUM.INSTALACION","DISTRITO.INSTALACION","BARRIO.INSTALACION","CODIGO.POSTAL.INSTALACION","COORDENADA.X","COORDENADA.Y","LATITUD","LONGITUD","TIPO","AUDIENCIA","X"
12043937,"Livianas Provincianas","",0,1,"X","","2023-12-06 00:00:00.0","2023-12-13 23:59:00.0","21:00","Miércoles / 21 horas","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5b2e0ba9df6f8810VgnVCM2000001f4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d3ce3914381c010VgnVCM1000000b205a0aRCRD","Teatro Español","1,6","CALLE","PRINCIPE",25,"CENTRO","CORTES",28012,440597,4474036,40.4148285322409,-3.70016494954369,"/contenido/actividades/ProgramacionDestacadaAgendaCultura","",NA
12042001,"Livianas Provincianas","",0,1,"X","","2023-11-08 00:00:00.0","2023-11-29 23:59:00.0","21:00","Miércoles / 21 horas","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=09b232617b2e8810VgnVCM1000001d4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d3ce3914381c010VgnVCM1000000b205a0aRCRD","Teatro Español","1,6","CALLE","PRINCIPE",25,"CENTRO","CORTES",28012,440597,4474036,40.4148285322409,-3.70016494954369,"/contenido/actividades/ProgramacionDestacadaAgendaCultura","",NA
12114072,"Los músicos de Bremen - El Retablo de la Ventana (Castilla La Mancha)","",1,1,"L,M,X,J,V,S,D","","2023-11-18 00:00:00.0","2023-11-19 23:59:00.0","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=656fee3a81bda810VgnVCM1000001d4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=784d8c7c0f91f010VgnVCM1000000b205a0aRCRD","Teatro Municipal de Títeres. Parque de El Retiro","1","AVENIDA","MÉXICO",4,"RETIRO","LOS JERÓNIMOS",28009,441748,4474466,40.418783625616,-3.68665194710036,"/contenido/actividades/CuentacuentosTiteresMarionetas","/usuario/Niños",NA
12042016,"Nuestros actos ocultos","",0,1,"M,X,J,V,S,D","","2024-01-16 00:00:00.0","2024-02-03 23:59:00.0","","Martes a domingo / 19 horas","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=963332617b2e8810VgnVCM1000001d4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d3ce3914381c010VgnVCM1000000b205a0aRCRD","Teatro Español","1,6","CALLE","PRINCIPE",25,"CENTRO","CORTES",28012,440597,4474036,40.4148285322409,-3.70016494954369,"/contenido/actividades/TeatroPerformance","",NA
12042083,"Poncia","De 6 a 22 euros",0,1,"M,X,J,V,S,D","","2023-11-03 00:00:00.0","2023-12-03 23:59:00.0","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=e02632617b2e8810VgnVCM1000001d4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d3ce3914381c010VgnVCM1000000b205a0aRCRD","Teatro Español","1,6","CALLE","PRINCIPE",25,"CENTRO","CORTES",28012,440597,4474036,40.4148285322409,-3.70016494954369,"/contenido/actividades/TeatroPerformance","",NA
12041959,"Run baby run","18 euros",0,0,"","","2024-02-22 00:00:00.0","2024-03-24 23:59:00.0","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=08b032617b2e8810VgnVCM1000001d4a900aRCRD","","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6d3ce3914381c010VgnVCM1000000b205a0aRCRD","Teatro Español","1,6","CALLE","PRINCIPE",25,"CENTRO","CORTES",28012,440597,4474036,40.4148285322409,-3.70016494954369,"/contenido/actividades/TeatroPerformance","",NA
12141997,"Sesión 1: Las bases de la improvisación. Del 'sí a huevo' a la propuesta creativa","",1,0,"","","2023-12-01 00:00:00.0","2023-12-01 23:59:00.0","17:30","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6931b78cd607b810VgnVCM1000001d4a900aRCRD","Monográfico III - improvisación teatral","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1eecb78cd607b810VgnVCM1000001d4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2193cb665c6e8610VgnVCM1000001d4a900aRCRD","Teatro Municipal de Vallecas","1","CALLE","PASO DE VILLAMANRIQUE",3,"VILLA DE VALLECAS","CASCO H.VALLECAS",28031,447122,4469857,40.3776236209305,-3.62290957747848,"/contenido/actividades/TeatroPerformance","",NA
12142012,"Sesión 2: Formatos de improvisación","",1,0,"","","2023-12-08 00:00:00.0","2023-12-08 23:59:00.0","17:30","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ca12b78cd607b810VgnVCM1000001d4a900aRCRD","Monográfico III - improvisación teatral","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1eecb78cd607b810VgnVCM1000001d4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2193cb665c6e8610VgnVCM1000001d4a900aRCRD","Teatro Municipal de Vallecas","1","CALLE","PASO DE VILLAMANRIQUE",3,"VILLA DE VALLECAS","CASCO H.VALLECAS",28031,447122,4469857,40.3776236209305,-3.62290957747848,"/contenido/actividades/TeatroPerformance","",NA
12142017,"Sesión 3: Puesta en práctica de todo lo aprendido. Improvisaciones y más improvisaciones","",1,0,"","","2023-12-15 00:00:00.0","2023-12-15 23:59:00.0","17:30","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=6642b78cd607b810VgnVCM1000001d4a900aRCRD","Monográfico III - improvisación teatral","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1eecb78cd607b810VgnVCM1000001d4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2193cb665c6e8610VgnVCM1000001d4a900aRCRD","Teatro Municipal de Vallecas","1","CALLE","PASO DE VILLAMANRIQUE",3,"VILLA DE VALLECAS","CASCO H.VALLECAS",28031,447122,4469857,40.3776236209305,-3.62290957747848,"/contenido/actividades/TeatroPerformance","",NA
12130506,"Showman","",1,0,"","","2023-11-18 00:00:00.0","2023-11-18 23:59:00.0","19:00","","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ad94795ff1e1b810VgnVCM1000001d4a900aRCRD","Showman","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3ab3795ff1e1b810VgnVCM1000001d4a900aRCRD","http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2193cb665c6e8610VgnVCM1000001d4a900aRCRD","Teatro Municipal de Vallecas","1","CALLE","PASO DE VILLAMANRIQUE",3,"VILLA DE VALLECAS","CASCO H.VALLECAS",28031,447122,4469857,40.3776236209305,-3.62290957747848,"/contenido/actividades/Musica","",NA
